week,individualCount
105,94.84090909
106,67.34042553
107,49.85714286
108,71.42857143
109,51.79591837
110,83.81081081
111,96.64473684
112,133.8918919
113,91.45
114,48.85416667
115,66.90410959
116,62.79166667
117,87.68493151
118,68.11881188
119,46.34782609
120,65.71232877
121,50.02702703
122,47.86842105
123,50.56756757
124,40.68918919
125,76.48
126,71.60869565
127,61.87012987
128,55.09090909
129,49.33333333
130,79.68115942
131,114.2027027
132,82.5915493
133,59.52941176
134,57.13846154
135,82.67567568
136,88.18243243
137,97.45070423
138,78.61576307
139,59.78082192
140,158.5211268
141,171.5070423
