week,individualCount
53,52.32142857142857
54,53.096774193548384
55,66.93548387096774
56,41.8
57,45.283018867924525
58,54.16923076923077
59,25.26923076923077
60,41.078125
61,31.962264150943398
62,38.05357142857143
63,37.41269841269841
64,28.4
65,33.69090909090909
66,32.17460317460318
67,31.903225806451612
68,25.22222222222222
69,27.357142857142858
70,25.108695652173914
71,56.90909090909091
72,61.53061224489796
73,39.0
74,51.69565217391305
75,98.15217391304348
76,100.26530612244898
77,73.14285714285714
78,90.38297872340425
79,72.44186046511628
80,86.83333333333333
81,56.26086956521739
82,58.08695652173913
83,64.63157894736842
84,85.14285714285714
85,105.42857142857143
86,125.71428571428572
87,146.0
88,84.22916666666667
89,178.29545454545453
90,160.46268656716418
91,73.83673469387755
92,97.65517241379311
93,162.77083333333334
94,111.28260869565217
95,79.25
96,81.1063829787234
97,130.10416666666666
98,109.03076923076924
99,87.0
100,47.758620689655174
101,67.24444444444444
102,71.19565217391305
103,97.10416666666667
104,50.61702127659574
